(10000, 3072) (10000, 10)
(2000, 3072) (2000, 10)
Epoch:  0  | Train loss:  2.3040996  | Test acc:  0.139
Epoch:  10  | Train loss:  2.2360232  | Test acc:  0.227
Epoch:  20  | Train loss:  2.1269133  | Test acc:  0.2675
Epoch:  30  | Train loss:  2.0173264  | Test acc:  0.301
Epoch:  40  | Train loss:  1.9433634  | Test acc:  0.3035
Epoch:  50  | Train loss:  1.8962052  | Test acc:  0.317
Epoch:  60  | Train loss:  1.8645426  | Test acc:  0.3215
Epoch:  70  | Train loss:  1.8390771  | Test acc:  0.337
Epoch:  80  | Train loss:  1.8165896  | Test acc:  0.337
Epoch:  90  | Train loss:  1.794952  | Test acc:  0.3435
Epoch:  100  | Train loss:  1.7721833  | Test acc:  0.3595
Epoch:  110  | Train loss:  1.7525696  | Test acc:  0.3695
Epoch:  120  | Train loss:  1.7292087  | Test acc:  0.38
Epoch:  130  | Train loss:  1.7063959  | Test acc:  0.382
Epoch:  140  | Train loss:  1.6861047  | Test acc:  0.383
Epoch:  150  | Train loss:  1.6663953  | Test acc:  0.3975
Epoch:  160  | Train loss:  1.6478037  | Test acc:  0.406
Epoch:  170  | Train loss:  1.6297474  | Test acc:  0.4145
Epoch:  180  | Train loss:  1.6137065  | Test acc:  0.4125
Epoch:  190  | Train loss:  1.598781  | Test acc:  0.4135
Epoch:  200  | Train loss:  1.5821786  | Test acc:  0.4015
Epoch:  210  | Train loss:  1.567351  | Test acc:  0.436
Epoch:  220  | Train loss:  1.5535356  | Test acc:  0.423
Epoch:  230  | Train loss:  1.5398282  | Test acc:  0.427
Epoch:  240  | Train loss:  1.5260415  | Test acc:  0.4235
Epoch:  250  | Train loss:  1.5151694  | Test acc:  0.444
Epoch:  260  | Train loss:  1.4993229  | Test acc:  0.437
Epoch:  270  | Train loss:  1.4876399  | Test acc:  0.448
Epoch:  280  | Train loss:  1.4742494  | Test acc:  0.4485
Epoch:  290  | Train loss:  1.461235  | Test acc:  0.4555
Epoch:  300  | Train loss:  1.4505063  | Test acc:  0.44
Epoch:  310  | Train loss:  1.4388545  | Test acc:  0.451
Epoch:  320  | Train loss:  1.4268459  | Test acc:  0.4575
Epoch:  330  | Train loss:  1.4158915  | Test acc:  0.4765
Epoch:  340  | Train loss:  1.4034545  | Test acc:  0.4785
Epoch:  350  | Train loss:  1.3945291  | Test acc:  0.459
Epoch:  360  | Train loss:  1.3826206  | Test acc:  0.484
Epoch:  370  | Train loss:  1.3742388  | Test acc:  0.488
Epoch:  380  | Train loss:  1.3617004  | Test acc:  0.485
Epoch:  390  | Train loss:  1.353849  | Test acc:  0.4825
Epoch:  400  | Train loss:  1.3420393  | Test acc:  0.478
Epoch:  410  | Train loss:  1.3343809  | Test acc:  0.4955
Epoch:  420  | Train loss:  1.3250959  | Test acc:  0.487
Epoch:  430  | Train loss:  1.3137242  | Test acc:  0.492
Epoch:  440  | Train loss:  1.3043457  | Test acc:  0.485
Epoch:  450  | Train loss:  1.2968335  | Test acc:  0.4935
Epoch:  460  | Train loss:  1.2870216  | Test acc:  0.488
Epoch:  470  | Train loss:  1.2757223  | Test acc:  0.503
Epoch:  480  | Train loss:  1.2687569  | Test acc:  0.4965
Epoch:  490  | Train loss:  1.2617123  | Test acc:  0.4895
Epoch:  500  | Train loss:  1.2517217  | Test acc:  0.498
Epoch:  510  | Train loss:  1.24155  | Test acc:  0.4945
Epoch:  520  | Train loss:  1.2334489  | Test acc:  0.504
Epoch:  530  | Train loss:  1.2253604  | Test acc:  0.499
Epoch:  540  | Train loss:  1.2148716  | Test acc:  0.5125
Epoch:  550  | Train loss:  1.2075522  | Test acc:  0.5075
Epoch:  560  | Train loss:  1.1971533  | Test acc:  0.5085
Epoch:  570  | Train loss:  1.1892442  | Test acc:  0.501
Epoch:  580  | Train loss:  1.1824005  | Test acc:  0.512
Epoch:  590  | Train loss:  1.169378  | Test acc:  0.5095
Epoch:  600  | Train loss:  1.165269  | Test acc:  0.5105
Epoch:  610  | Train loss:  1.1541954  | Test acc:  0.508
Epoch:  620  | Train loss:  1.146172  | Test acc:  0.5065
Epoch:  630  | Train loss:  1.134767  | Test acc:  0.518
Epoch:  640  | Train loss:  1.1277124  | Test acc:  0.519
Epoch:  650  | Train loss:  1.120309  | Test acc:  0.5145
Epoch:  660  | Train loss:  1.1096871  | Test acc:  0.5165
Epoch:  670  | Train loss:  1.1012348  | Test acc:  0.5155
Epoch:  680  | Train loss:  1.0929012  | Test acc:  0.5135
Epoch:  690  | Train loss:  1.0833184  | Test acc:  0.52
Epoch:  700  | Train loss:  1.07402  | Test acc:  0.512
Epoch:  710  | Train loss:  1.0654641  | Test acc:  0.524
Epoch:  720  | Train loss:  1.0577862  | Test acc:  0.507
Epoch:  730  | Train loss:  1.0481776  | Test acc:  0.5215
Epoch:  740  | Train loss:  1.0388889  | Test acc:  0.5265
Epoch:  750  | Train loss:  1.0289391  | Test acc:  0.5205
Epoch:  760  | Train loss:  1.0186079  | Test acc:  0.519
Epoch:  770  | Train loss:  1.0114293  | Test acc:  0.5235
Epoch:  780  | Train loss:  1.0026919  | Test acc:  0.528
Epoch:  790  | Train loss:  0.99567294  | Test acc:  0.528
Epoch:  800  | Train loss:  0.98551434  | Test acc:  0.517
Epoch:  810  | Train loss:  0.97521955  | Test acc:  0.525
Epoch:  820  | Train loss:  0.96708614  | Test acc:  0.531
Epoch:  830  | Train loss:  0.95452976  | Test acc:  0.5285
Epoch:  840  | Train loss:  0.9466658  | Test acc:  0.483
Epoch:  850  | Train loss:  0.93836147  | Test acc:  0.5315
Epoch:  860  | Train loss:  0.9281676  | Test acc:  0.5165
Epoch:  870  | Train loss:  0.91991454  | Test acc:  0.5205
Epoch:  880  | Train loss:  0.9098398  | Test acc:  0.5165
Epoch:  890  | Train loss:  0.90330654  | Test acc:  0.5255
Epoch:  900  | Train loss:  0.8932727  | Test acc:  0.531
Epoch:  910  | Train loss:  0.88502795  | Test acc:  0.516
Epoch:  920  | Train loss:  0.8716359  | Test acc:  0.517
Epoch:  930  | Train loss:  0.8667703  | Test acc:  0.507
Epoch:  940  | Train loss:  0.8567505  | Test acc:  0.5245
Epoch:  950  | Train loss:  0.8451054  | Test acc:  0.5205
Epoch:  960  | Train loss:  0.83823764  | Test acc:  0.5225
Epoch:  970  | Train loss:  0.8279796  | Test acc:  0.5225
Epoch:  980  | Train loss:  0.8180565  | Test acc:  0.5245
Epoch:  990  | Train loss:  0.8097025  | Test acc:  0.5135
Epoch:  999  | Train loss:  0.8012786  | Test acc:  0.5315
