(10000, 3072) (10000, 10)
(2000, 3072) (2000, 10)
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/training/rmsprop.py:119: calling Ones.__init__ (from tensorflow.python.ops.init_ops) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Call initializer instance with the dtype argument instead of passing it to the constructor
Epoch:  0  | Train loss:  2.112692  | Test acc:  0.2775
Epoch:  10  | Train loss:  1.2822971  | Test acc:  0.4505
Epoch:  20  | Train loss:  0.73939186  | Test acc:  0.422
Epoch:  30  | Train loss:  0.38398412  | Test acc:  0.389
Epoch:  40  | Train loss:  0.24248107  | Test acc:  0.4175
Epoch:  50  | Train loss:  0.2117775  | Test acc:  0.463
Epoch:  60  | Train loss:  0.15974772  | Test acc:  0.454
Epoch:  70  | Train loss:  0.1366097  | Test acc:  0.445
Epoch:  80  | Train loss:  0.13731894  | Test acc:  0.4435
Epoch:  90  | Train loss:  0.105618976  | Test acc:  0.453
Epoch:  100  | Train loss:  0.10703369  | Test acc:  0.457
Epoch:  110  | Train loss:  0.09253659  | Test acc:  0.46
Epoch:  120  | Train loss:  0.09441265  | Test acc:  0.4365
Epoch:  130  | Train loss:  0.07098648  | Test acc:  0.453
Epoch:  140  | Train loss:  0.092110164  | Test acc:  0.4365
Epoch:  150  | Train loss:  0.07719774  | Test acc:  0.436
Epoch:  160  | Train loss:  0.07614732  | Test acc:  0.4365
Epoch:  170  | Train loss:  0.062038157  | Test acc:  0.4375
Epoch:  180  | Train loss:  0.06975128  | Test acc:  0.445
Epoch:  190  | Train loss:  0.070136085  | Test acc:  0.4265
Epoch:  200  | Train loss:  0.05156729  | Test acc:  0.4595
Epoch:  210  | Train loss:  0.06764385  | Test acc:  0.441
Epoch:  220  | Train loss:  0.09110022  | Test acc:  0.462
Epoch:  230  | Train loss:  0.053960774  | Test acc:  0.463
Epoch:  240  | Train loss:  0.0613995  | Test acc:  0.434
Epoch:  250  | Train loss:  0.05972439  | Test acc:  0.454
Epoch:  260  | Train loss:  0.07951005  | Test acc:  0.446
Epoch:  270  | Train loss:  0.05154231  | Test acc:  0.4485
Epoch:  280  | Train loss:  0.037552267  | Test acc:  0.446
Epoch:  290  | Train loss:  0.04746302  | Test acc:  0.439
Epoch:  300  | Train loss:  0.048817974  | Test acc:  0.4585
Epoch:  310  | Train loss:  0.06281966  | Test acc:  0.4485
Epoch:  320  | Train loss:  0.050029643  | Test acc:  0.4455
Epoch:  330  | Train loss:  0.0458315  | Test acc:  0.4445
Epoch:  340  | Train loss:  0.055663615  | Test acc:  0.4475
Epoch:  350  | Train loss:  0.044894125  | Test acc:  0.434
Epoch:  360  | Train loss:  0.042952973  | Test acc:  0.4585
Epoch:  370  | Train loss:  0.052684356  | Test acc:  0.4635
Epoch:  380  | Train loss:  0.04907762  | Test acc:  0.4625
