(10000, 3072) (10000, 10)
(2000, 3072) (2000, 10)
Epoch:  0  | Train loss:  2.2394624  | Test acc:  0.3215
Epoch:  10  | Train loss:  1.3681617  | Test acc:  0.444
Epoch:  20  | Train loss:  1.0277091  | Test acc:  0.4455
Epoch:  30  | Train loss:  0.71198404  | Test acc:  0.436
Epoch:  40  | Train loss:  0.45767242  | Test acc:  0.4285
Epoch:  50  | Train loss:  0.29152265  | Test acc:  0.405
Epoch:  60  | Train loss:  0.19101158  | Test acc:  0.398
Epoch:  70  | Train loss:  0.18606925  | Test acc:  0.408
Epoch:  80  | Train loss:  0.07092347  | Test acc:  0.405
Epoch:  90  | Train loss:  0.018649701  | Test acc:  0.4095
Epoch:  100  | Train loss:  0.0037372052  | Test acc:  0.418
Epoch:  110  | Train loss:  0.0016608193  | Test acc:  0.4195
Epoch:  120  | Train loss:  0.000910189  | Test acc:  0.421
Epoch:  130  | Train loss:  0.00052861555  | Test acc:  0.4175
Epoch:  140  | Train loss:  0.00031880324  | Test acc:  0.42
Epoch:  150  | Train loss:  0.00019502755  | Test acc:  0.4165
Epoch:  160  | Train loss:  0.00012279765  | Test acc:  0.417
Epoch:  170  | Train loss:  7.667885e-05  | Test acc:  0.4175
Epoch:  180  | Train loss:  4.8647977e-05  | Test acc:  0.42
Epoch:  190  | Train loss:  3.0727682e-05  | Test acc:  0.422
Epoch:  200  | Train loss:  1.9701252e-05  | Test acc:  0.421
Epoch:  210  | Train loss:  1.2524971e-05  | Test acc:  0.422
Epoch:  220  | Train loss:  8.132201e-06  | Test acc:  0.4205
Epoch:  230  | Train loss:  5.200377e-06  | Test acc:  0.4205
Epoch:  240  | Train loss:  3.3551821e-06  | Test acc:  0.421
Epoch:  250  | Train loss:  2.1548376e-06  | Test acc:  0.4215
Epoch:  260  | Train loss:  1.4068398e-06  | Test acc:  0.42
Epoch:  270  | Train loss:  9.085145e-07  | Test acc:  0.418
Epoch:  280  | Train loss:  5.852636e-07  | Test acc:  0.418
Epoch:  290  | Train loss:  3.7767475e-07  | Test acc:  0.4205
Epoch:  300  | Train loss:  2.476839e-07  | Test acc:  0.4175
Epoch:  310  | Train loss:  1.5997249e-07  | Test acc:  0.4155
Epoch:  320  | Train loss:  1.0361557e-07  | Test acc:  0.4155
Epoch:  330  | Train loss:  6.860742e-08  | Test acc:  0.4135
Epoch:  340  | Train loss:  4.4799e-08  | Test acc:  0.4135
Epoch:  350  | Train loss:  2.989784e-08  | Test acc:  0.413
Epoch:  360  | Train loss:  2.1229377e-08  | Test acc:  0.408
Epoch:  370  | Train loss:  1.484146e-08  | Test acc:  0.407
Epoch:  380  | Train loss:  1.1581831e-08  | Test acc:  0.405
Epoch:  390  | Train loss:  2.3032641  | Test acc:  0.1
Epoch:  400  | Train loss:  2.3040903  | Test acc:  0.1
Epoch:  410  | Train loss:  2.3034356  | Test acc:  0.1
Epoch:  420  | Train loss:  2.3035405  | Test acc:  0.1
Epoch:  430  | Train loss:  2.3042676  | Test acc:  0.1
Epoch:  440  | Train loss:  2.3031354  | Test acc:  0.1
Epoch:  450  | Train loss:  2.3038297  | Test acc:  0.1
Epoch:  460  | Train loss:  2.303587  | Test acc:  0.1
