(10000, 3072) (10000, 10)
(2000, 3072) (2000, 10)
Epoch:  0  | Train loss:  2.281735  | Test acc:  0.1905
Epoch:  10  | Train loss:  2.0212808  | Test acc:  0.2925
Epoch:  20  | Train loss:  1.8928009  | Test acc:  0.3165
Epoch:  30  | Train loss:  1.8300494  | Test acc:  0.3535
Epoch:  40  | Train loss:  1.780919  | Test acc:  0.372
Epoch:  50  | Train loss:  1.7375491  | Test acc:  0.3815
Epoch:  60  | Train loss:  1.6964154  | Test acc:  0.3945
Epoch:  70  | Train loss:  1.6582139  | Test acc:  0.4125
Epoch:  80  | Train loss:  1.6227305  | Test acc:  0.418
Epoch:  90  | Train loss:  1.5909028  | Test acc:  0.4205
Epoch:  100  | Train loss:  1.5596812  | Test acc:  0.433
Epoch:  110  | Train loss:  1.5331513  | Test acc:  0.442
Epoch:  120  | Train loss:  1.5055432  | Test acc:  0.4585
Epoch:  130  | Train loss:  1.477495  | Test acc:  0.444
Epoch:  140  | Train loss:  1.4527313  | Test acc:  0.448
Epoch:  150  | Train loss:  1.4288905  | Test acc:  0.4625
Epoch:  160  | Train loss:  1.4060053  | Test acc:  0.468
Epoch:  170  | Train loss:  1.3833479  | Test acc:  0.4685
Epoch:  180  | Train loss:  1.360188  | Test acc:  0.4725
Epoch:  190  | Train loss:  1.3397049  | Test acc:  0.474
Epoch:  200  | Train loss:  1.3168017  | Test acc:  0.4555
Epoch:  210  | Train loss:  1.2963816  | Test acc:  0.5005
Epoch:  220  | Train loss:  1.2776334  | Test acc:  0.4925
Epoch:  230  | Train loss:  1.2572664  | Test acc:  0.49
Epoch:  240  | Train loss:  1.2385511  | Test acc:  0.503
Epoch:  250  | Train loss:  1.2222478  | Test acc:  0.5055
Epoch:  260  | Train loss:  1.2020743  | Test acc:  0.505
Epoch:  270  | Train loss:  1.183828  | Test acc:  0.5015
Epoch:  280  | Train loss:  1.1664858  | Test acc:  0.51
Epoch:  290  | Train loss:  1.1463473  | Test acc:  0.517
Epoch:  300  | Train loss:  1.1302351  | Test acc:  0.503
Epoch:  310  | Train loss:  1.1133955  | Test acc:  0.507
Epoch:  320  | Train loss:  1.0938857  | Test acc:  0.5085
Epoch:  330  | Train loss:  1.0765548  | Test acc:  0.519
Epoch:  340  | Train loss:  1.0577741  | Test acc:  0.5225
Epoch:  350  | Train loss:  1.0441629  | Test acc:  0.5115
Epoch:  360  | Train loss:  1.0231779  | Test acc:  0.522
Epoch:  370  | Train loss:  1.0091034  | Test acc:  0.5145
Epoch:  380  | Train loss:  0.9883318  | Test acc:  0.514
Epoch:  390  | Train loss:  0.97253025  | Test acc:  0.52
Epoch:  400  | Train loss:  0.95304596  | Test acc:  0.507
Epoch:  410  | Train loss:  0.9366292  | Test acc:  0.529
Epoch:  420  | Train loss:  0.9184048  | Test acc:  0.513
Epoch:  430  | Train loss:  0.9000924  | Test acc:  0.523
Epoch:  440  | Train loss:  0.88272  | Test acc:  0.517
Epoch:  450  | Train loss:  0.86550295  | Test acc:  0.5185
Epoch:  460  | Train loss:  0.84755325  | Test acc:  0.5235
Epoch:  470  | Train loss:  0.8281205  | Test acc:  0.522
Epoch:  480  | Train loss:  0.81036085  | Test acc:  0.5255
Epoch:  490  | Train loss:  0.79191804  | Test acc:  0.5175
Epoch:  500  | Train loss:  0.7726608  | Test acc:  0.5205
Epoch:  510  | Train loss:  0.75318664  | Test acc:  0.5185
Epoch:  520  | Train loss:  0.73575217  | Test acc:  0.5335
Epoch:  530  | Train loss:  0.716522  | Test acc:  0.53
Epoch:  540  | Train loss:  0.69682276  | Test acc:  0.5395
Epoch:  550  | Train loss:  0.6787427  | Test acc:  0.5305
Epoch:  560  | Train loss:  0.65910625  | Test acc:  0.525
Epoch:  570  | Train loss:  0.64285004  | Test acc:  0.5155
Epoch:  580  | Train loss:  0.6243227  | Test acc:  0.5395
Epoch:  590  | Train loss:  0.60373455  | Test acc:  0.5355
Epoch:  600  | Train loss:  0.58844995  | Test acc:  0.539
Epoch:  610  | Train loss:  0.5660135  | Test acc:  0.5265
Epoch:  620  | Train loss:  0.549137  | Test acc:  0.5415
Epoch:  630  | Train loss:  0.53003985  | Test acc:  0.5285
Epoch:  640  | Train loss:  0.51340145  | Test acc:  0.5415
Epoch:  650  | Train loss:  0.49655747  | Test acc:  0.5375
Epoch:  660  | Train loss:  0.47802168  | Test acc:  0.532
Epoch:  670  | Train loss:  0.457238  | Test acc:  0.5245
Epoch:  680  | Train loss:  0.44403383  | Test acc:  0.5395
Epoch:  690  | Train loss:  0.42749688  | Test acc:  0.5435
Epoch:  700  | Train loss:  0.41059485  | Test acc:  0.5355
Epoch:  710  | Train loss:  0.39345843  | Test acc:  0.539
Epoch:  720  | Train loss:  0.37637842  | Test acc:  0.5285
Epoch:  730  | Train loss:  0.36077595  | Test acc:  0.532
Epoch:  740  | Train loss:  0.34864947  | Test acc:  0.541
Epoch:  750  | Train loss:  0.3306739  | Test acc:  0.542
Epoch:  760  | Train loss:  0.31925812  | Test acc:  0.508
Epoch:  770  | Train loss:  0.30314556  | Test acc:  0.5415
Epoch:  780  | Train loss:  0.28902876  | Test acc:  0.5435
Epoch:  790  | Train loss:  0.27822086  | Test acc:  0.544
Epoch:  800  | Train loss:  0.26439705  | Test acc:  0.5265
Epoch:  810  | Train loss:  0.25583437  | Test acc:  0.5345
Epoch:  820  | Train loss:  0.2412352  | Test acc:  0.536
Epoch:  830  | Train loss:  0.2294748  | Test acc:  0.5355
Epoch:  840  | Train loss:  0.21874894  | Test acc:  0.521
Epoch:  850  | Train loss:  0.2105375  | Test acc:  0.5395
Epoch:  860  | Train loss:  0.1983758  | Test acc:  0.5275
Epoch:  870  | Train loss:  0.18906048  | Test acc:  0.5365
Epoch:  880  | Train loss:  0.17989306  | Test acc:  0.5285
Epoch:  890  | Train loss:  0.1724814  | Test acc:  0.5335
Epoch:  900  | Train loss:  0.1637736  | Test acc:  0.5415
Epoch:  910  | Train loss:  0.15733582  | Test acc:  0.5375
Epoch:  920  | Train loss:  0.14927934  | Test acc:  0.5315
Epoch:  930  | Train loss:  0.1433257  | Test acc:  0.5295
