(10000, 3072) (10000, 10)
(2000, 3072) (2000, 10)
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/training/rmsprop.py:119: calling Ones.__init__ (from tensorflow.python.ops.init_ops) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Call initializer instance with the dtype argument instead of passing it to the constructor
Epoch:  0  | Train loss:  2.2190468  | Test acc:  0.247
Epoch:  10  | Train loss:  1.0251125  | Test acc:  0.442
Epoch:  20  | Train loss:  0.34139067  | Test acc:  0.4875
Epoch:  30  | Train loss:  0.115124755  | Test acc:  0.454
Epoch:  40  | Train loss:  0.09856708  | Test acc:  0.4665
Epoch:  50  | Train loss:  0.0660866  | Test acc:  0.462
Epoch:  60  | Train loss:  0.055305053  | Test acc:  0.4735
Epoch:  70  | Train loss:  0.048191432  | Test acc:  0.46
Epoch:  80  | Train loss:  0.02614448  | Test acc:  0.4615
Epoch:  90  | Train loss:  0.039263405  | Test acc:  0.449
Epoch:  100  | Train loss:  0.027523145  | Test acc:  0.45
Epoch:  110  | Train loss:  0.027865695  | Test acc:  0.4435
Epoch:  120  | Train loss:  0.021443235  | Test acc:  0.4625
Epoch:  130  | Train loss:  0.022682237  | Test acc:  0.4685
Epoch:  140  | Train loss:  0.024954414  | Test acc:  0.468
Epoch:  150  | Train loss:  0.016234998  | Test acc:  0.4585
Epoch:  160  | Train loss:  0.020114863  | Test acc:  0.455
Epoch:  170  | Train loss:  0.013432613  | Test acc:  0.4635
Epoch:  180  | Train loss:  0.016444802  | Test acc:  0.4595
Epoch:  190  | Train loss:  0.018902162  | Test acc:  0.4345
Epoch:  200  | Train loss:  0.016119288  | Test acc:  0.448
Epoch:  210  | Train loss:  0.015575058  | Test acc:  0.468
Epoch:  220  | Train loss:  0.012649882  | Test acc:  0.4485
Epoch:  230  | Train loss:  0.012251081  | Test acc:  0.4515
Epoch:  240  | Train loss:  0.01121524  | Test acc:  0.42
Epoch:  250  | Train loss:  0.01295656  | Test acc:  0.472
Epoch:  260  | Train loss:  0.013112487  | Test acc:  0.445
Epoch:  270  | Train loss:  0.015790679  | Test acc:  0.449
Epoch:  280  | Train loss:  0.006424394  | Test acc:  0.4575
Epoch:  290  | Train loss:  0.008484185  | Test acc:  0.4595
Epoch:  300  | Train loss:  0.008502394  | Test acc:  0.4485
Epoch:  310  | Train loss:  0.011100836  | Test acc:  0.4625
Epoch:  320  | Train loss:  0.013073225  | Test acc:  0.441
Epoch:  330  | Train loss:  0.01796888  | Test acc:  0.441
Epoch:  340  | Train loss:  0.0135333035  | Test acc:  0.451
Epoch:  350  | Train loss:  0.0153436  | Test acc:  0.4515
Epoch:  360  | Train loss:  0.009185351  | Test acc:  0.466
Epoch:  370  | Train loss:  0.010282443  | Test acc:  0.458
Epoch:  380  | Train loss:  0.01243699  | Test acc:  0.4525
Epoch:  390  | Train loss:  0.010894566  | Test acc:  0.456
Epoch:  400  | Train loss:  0.012457601  | Test acc:  0.4455
Epoch:  410  | Train loss:  0.010081719  | Test acc:  0.4415
Epoch:  420  | Train loss:  0.01214859  | Test acc:  0.4715
Epoch:  430  | Train loss:  0.0053828415  | Test acc:  0.4655
Epoch:  440  | Train loss:  0.0074141165  | Test acc:  0.4495
Epoch:  450  | Train loss:  0.01029688  | Test acc:  0.4335
Epoch:  460  | Train loss:  0.010765714  | Test acc:  0.46
Epoch:  470  | Train loss:  0.016721852  | Test acc:  0.4455
Epoch:  480  | Train loss:  0.0051521244  | Test acc:  0.4555
Epoch:  490  | Train loss:  0.011915417  | Test acc:  0.4505
Epoch:  500  | Train loss:  0.012879931  | Test acc:  0.443
Epoch:  510  | Train loss:  0.012310712  | Test acc:  0.4445
Epoch:  520  | Train loss:  0.010658489  | Test acc:  0.464
Epoch:  530  | Train loss:  0.016073957  | Test acc:  0.4475
Epoch:  540  | Train loss:  0.0135471625  | Test acc:  0.466
Epoch:  550  | Train loss:  0.01051683  | Test acc:  0.453
Epoch:  560  | Train loss:  0.010792577  | Test acc:  0.4465
Epoch:  570  | Train loss:  0.00993288  | Test acc:  0.4445
Epoch:  580  | Train loss:  0.01406528  | Test acc:  0.46
Epoch:  590  | Train loss:  0.0065703145  | Test acc:  0.441
Epoch:  600  | Train loss:  0.01128044  | Test acc:  0.4575
Epoch:  610  | Train loss:  0.0059312857  | Test acc:  0.4505
Epoch:  620  | Train loss:  0.0137095265  | Test acc:  0.4425
Epoch:  630  | Train loss:  0.008492978  | Test acc:  0.445
Epoch:  640  | Train loss:  0.01487803  | Test acc:  0.451
Epoch:  650  | Train loss:  0.014640281  | Test acc:  0.44
Epoch:  660  | Train loss:  0.009462615  | Test acc:  0.458
Epoch:  670  | Train loss:  0.0072615263  | Test acc:  0.4755
Epoch:  680  | Train loss:  0.01105461  | Test acc:  0.4755
Epoch:  690  | Train loss:  0.009015035  | Test acc:  0.455
Epoch:  700  | Train loss:  0.005552276  | Test acc:  0.4605
Epoch:  710  | Train loss:  0.0069976174  | Test acc:  0.4465
Epoch:  720  | Train loss:  0.013187058  | Test acc:  0.4605
Epoch:  730  | Train loss:  0.009238123  | Test acc:  0.4595
Epoch:  740  | Train loss:  0.022087177  | Test acc:  0.453
Epoch:  750  | Train loss:  0.008003101  | Test acc:  0.453
Epoch:  760  | Train loss:  0.009306212  | Test acc:  0.4615
Epoch:  770  | Train loss:  0.00949422  | Test acc:  0.4475
Epoch:  780  | Train loss:  0.012164772  | Test acc:  0.446
Epoch:  790  | Train loss:  0.01045165  | Test acc:  0.4585
Epoch:  800  | Train loss:  0.005944856  | Test acc:  0.4615
Epoch:  810  | Train loss:  0.009628396  | Test acc:  0.4345
Epoch:  820  | Train loss:  0.020604324  | Test acc:  0.4565
Epoch:  830  | Train loss:  0.0104912  | Test acc:  0.4515
Epoch:  840  | Train loss:  0.013740566  | Test acc:  0.4475
Epoch:  850  | Train loss:  0.004353956  | Test acc:  0.464
Epoch:  860  | Train loss:  0.0054115527  | Test acc:  0.457
Epoch:  870  | Train loss:  0.007863111  | Test acc:  0.4585
Epoch:  880  | Train loss:  0.012937255  | Test acc:  0.4555
Epoch:  890  | Train loss:  0.014740782  | Test acc:  0.44
Epoch:  900  | Train loss:  0.01243764  | Test acc:  0.4645
Epoch:  910  | Train loss:  0.004225011  | Test acc:  0.4535
Epoch:  920  | Train loss:  0.021212563  | Test acc:  0.447
Epoch:  930  | Train loss:  0.009784233  | Test acc:  0.4545
Epoch:  940  | Train loss:  0.0032605631  | Test acc:  0.4495
Epoch:  950  | Train loss:  0.014198387  | Test acc:  0.452
Epoch:  960  | Train loss:  0.017762152  | Test acc:  0.448
Epoch:  970  | Train loss:  0.016833365  | Test acc:  0.45
Epoch:  980  | Train loss:  0.011472552  | Test acc:  0.437
Epoch:  990  | Train loss:  0.0071216854  | Test acc:  0.4305
Epoch:  999  | Train loss:  0.00787194  | Test acc:  0.464
