(10000, 3072) (10000, 10)
(2000, 3072) (2000, 10)
Epoch:  0  | Train loss:  2.2669938  | Test acc:  0.3235
Epoch:  10  | Train loss:  1.3344576  | Test acc:  0.4455
Epoch:  20  | Train loss:  1.0077364  | Test acc:  0.4435
Epoch:  30  | Train loss:  0.6828683  | Test acc:  0.4015
Epoch:  40  | Train loss:  0.45142755  | Test acc:  0.423
Epoch:  50  | Train loss:  0.3148746  | Test acc:  0.4045
Epoch:  60  | Train loss:  0.19065812  | Test acc:  0.407
Epoch:  70  | Train loss:  0.14918494  | Test acc:  0.397
Epoch:  80  | Train loss:  0.063801385  | Test acc:  0.4055
Epoch:  90  | Train loss:  0.35160926  | Test acc:  0.402
Epoch:  100  | Train loss:  0.016862318  | Test acc:  0.402
Epoch:  110  | Train loss:  0.00481162  | Test acc:  0.4055
Epoch:  120  | Train loss:  0.0019399824  | Test acc:  0.405
Epoch:  130  | Train loss:  0.0009936759  | Test acc:  0.409
Epoch:  140  | Train loss:  0.0005620404  | Test acc:  0.407
Epoch:  150  | Train loss:  0.0003288127  | Test acc:  0.4085
Epoch:  160  | Train loss:  0.00019660225  | Test acc:  0.4045
Epoch:  170  | Train loss:  0.000121315956  | Test acc:  0.402
Epoch:  180  | Train loss:  7.428627e-05  | Test acc:  0.402
Epoch:  190  | Train loss:  4.6646714e-05  | Test acc:  0.401
Epoch:  200  | Train loss:  2.935476e-05  | Test acc:  0.3975
Epoch:  210  | Train loss:  1.878528e-05  | Test acc:  0.3995
Epoch:  220  | Train loss:  1.18475655e-05  | Test acc:  0.397
Epoch:  230  | Train loss:  7.626171e-06  | Test acc:  0.3945
Epoch:  240  | Train loss:  4.8942998e-06  | Test acc:  0.3985
Epoch:  250  | Train loss:  3.1434163e-06  | Test acc:  0.397
Epoch:  260  | Train loss:  2.0269256e-06  | Test acc:  0.399
Epoch:  270  | Train loss:  1.301016e-06  | Test acc:  0.3965
Epoch:  280  | Train loss:  8.356568e-07  | Test acc:  0.398
Epoch:  290  | Train loss:  5.364647e-07  | Test acc:  0.397
Epoch:  300  | Train loss:  3.476695e-07  | Test acc:  0.397
Epoch:  310  | Train loss:  2.2957087e-07  | Test acc:  0.397
Epoch:  320  | Train loss:  1.487608e-07  | Test acc:  0.394
Epoch:  330  | Train loss:  9.957985e-08  | Test acc:  0.3955
Epoch:  340  | Train loss:  6.190906e-08  | Test acc:  0.396
Epoch:  350  | Train loss:  4.168265e-08  | Test acc:  0.395
Epoch:  360  | Train loss:  2.8536675e-08  | Test acc:  0.394
Epoch:  370  | Train loss:  1.9426432e-08  | Test acc:  0.397
Epoch:  380  | Train loss:  1.522354e-08  | Test acc:  0.3945
Epoch:  390  | Train loss:  2.3033915  | Test acc:  0.1
Epoch:  400  | Train loss:  2.3042636  | Test acc:  0.1
Epoch:  410  | Train loss:  2.303589  | Test acc:  0.1
Epoch:  420  | Train loss:  2.3036017  | Test acc:  0.1
Epoch:  430  | Train loss:  2.304649  | Test acc:  0.1
Epoch:  440  | Train loss:  2.3031864  | Test acc:  0.1
Epoch:  450  | Train loss:  2.3037832  | Test acc:  0.1
Epoch:  460  | Train loss:  2.3033893  | Test acc:  0.1
Epoch:  470  | Train loss:  2.3039098  | Test acc:  0.1
Epoch:  480  | Train loss:  2.3035579  | Test acc:  0.1
Epoch:  490  | Train loss:  2.3036547  | Test acc:  0.1
Epoch:  500  | Train loss:  2.3036904  | Test acc:  0.1
Epoch:  510  | Train loss:  2.3029947  | Test acc:  0.1
Epoch:  520  | Train loss:  2.3032165  | Test acc:  0.1
Epoch:  530  | Train loss:  2.303111  | Test acc:  0.1
Epoch:  540  | Train loss:  2.30295  | Test acc:  0.1
Epoch:  550  | Train loss:  2.303208  | Test acc:  0.1
Epoch:  560  | Train loss:  2.3031785  | Test acc:  0.1
Epoch:  570  | Train loss:  2.3027306  | Test acc:  0.1
Epoch:  580  | Train loss:  2.3026388  | Test acc:  0.1
Epoch:  590  | Train loss:  2.302751  | Test acc:  0.1
Epoch:  600  | Train loss:  2.3024774  | Test acc:  0.1
Epoch:  610  | Train loss:  2.3026433  | Test acc:  0.1
Epoch:  620  | Train loss:  2.3025115  | Test acc:  0.1
Epoch:  630  | Train loss:  2.3025615  | Test acc:  0.1
Epoch:  640  | Train loss:  2.3024614  | Test acc:  0.1
Epoch:  650  | Train loss:  2.302456  | Test acc:  0.1
Epoch:  660  | Train loss:  2.3024232  | Test acc:  0.1
Epoch:  670  | Train loss:  2.302434  | Test acc:  0.1
Epoch:  680  | Train loss:  2.3024583  | Test acc:  0.1
Epoch:  690  | Train loss:  2.3024385  | Test acc:  0.1
Epoch:  700  | Train loss:  2.3024008  | Test acc:  0.1
Epoch:  710  | Train loss:  2.3024194  | Test acc:  0.1
Epoch:  720  | Train loss:  2.3024313  | Test acc:  0.1
Epoch:  730  | Train loss:  2.3023965  | Test acc:  0.1
Epoch:  740  | Train loss:  2.3023465  | Test acc:  0.1
Epoch:  750  | Train loss:  2.302419  | Test acc:  0.1
Epoch:  760  | Train loss:  2.302418  | Test acc:  0.1
Epoch:  770  | Train loss:  2.3023546  | Test acc:  0.1
Epoch:  780  | Train loss:  2.3022418  | Test acc:  0.1
Epoch:  790  | Train loss:  2.302382  | Test acc:  0.1
Epoch:  800  | Train loss:  2.3023975  | Test acc:  0.1
Epoch:  810  | Train loss:  2.3023336  | Test acc:  0.1
Epoch:  820  | Train loss:  2.3023906  | Test acc:  0.1
Epoch:  830  | Train loss:  2.3022566  | Test acc:  0.1
Epoch:  840  | Train loss:  2.3023772  | Test acc:  0.1
Epoch:  850  | Train loss:  2.3023686  | Test acc:  0.1
Epoch:  860  | Train loss:  2.3023353  | Test acc:  0.1
Epoch:  870  | Train loss:  2.3025594  | Test acc:  0.1
Epoch:  880  | Train loss:  2.302319  | Test acc:  0.1
Epoch:  890  | Train loss:  2.3022869  | Test acc:  0.1
Epoch:  900  | Train loss:  2.302292  | Test acc:  0.1
Epoch:  910  | Train loss:  2.3024113  | Test acc:  0.1
Epoch:  920  | Train loss:  2.3023098  | Test acc:  0.1
Epoch:  930  | Train loss:  2.302423  | Test acc:  0.1
Epoch:  940  | Train loss:  2.3022914  | Test acc:  0.1
Epoch:  950  | Train loss:  2.302338  | Test acc:  0.1
Epoch:  960  | Train loss:  2.3023598  | Test acc:  0.1
Epoch:  970  | Train loss:  2.3023295  | Test acc:  0.1
Epoch:  980  | Train loss:  2.3022768  | Test acc:  0.1
Epoch:  990  | Train loss:  2.3022475  | Test acc:  0.1
Epoch:  999  | Train loss:  2.3023913  | Test acc:  0.1
