(10000, 3072) (10000, 10)
(2000, 3072) (2000, 10)
WARNING:tensorflow:From <ipython-input-5-867863becfda>:9: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
Epoch:  0  | Train loss:  2.2723334  | Test acc:  0.202
Epoch:  10  | Train loss:  1.9788458  | Test acc:  0.309
Epoch:  20  | Train loss:  1.8640434  | Test acc:  0.325
Epoch:  30  | Train loss:  1.8060867  | Test acc:  0.363
Epoch:  40  | Train loss:  1.7567823  | Test acc:  0.3725
Epoch:  50  | Train loss:  1.7149026  | Test acc:  0.385
Epoch:  60  | Train loss:  1.6758665  | Test acc:  0.402
Epoch:  70  | Train loss:  1.6415223  | Test acc:  0.414
Epoch:  80  | Train loss:  1.6081442  | Test acc:  0.417
Epoch:  90  | Train loss:  1.5791279  | Test acc:  0.426
Epoch:  100  | Train loss:  1.5488927  | Test acc:  0.441
Epoch:  110  | Train loss:  1.5251521  | Test acc:  0.442
Epoch:  120  | Train loss:  1.4986935  | Test acc:  0.4575
Epoch:  130  | Train loss:  1.4715382  | Test acc:  0.4495
Epoch:  140  | Train loss:  1.450201  | Test acc:  0.441
Epoch:  150  | Train loss:  1.4293624  | Test acc:  0.4755
Epoch:  160  | Train loss:  1.4084507  | Test acc:  0.4585
Epoch:  170  | Train loss:  1.3864498  | Test acc:  0.477
Epoch:  180  | Train loss:  1.3664131  | Test acc:  0.4865
Epoch:  190  | Train loss:  1.3479604  | Test acc:  0.471
Epoch:  200  | Train loss:  1.3255248  | Test acc:  0.457
Epoch:  210  | Train loss:  1.3088884  | Test acc:  0.4985
Epoch:  220  | Train loss:  1.2924504  | Test acc:  0.4955
Epoch:  230  | Train loss:  1.2735484  | Test acc:  0.4975
Epoch:  240  | Train loss:  1.2558692  | Test acc:  0.5
Epoch:  250  | Train loss:  1.2416793  | Test acc:  0.5045
Epoch:  260  | Train loss:  1.22385  | Test acc:  0.504
Epoch:  270  | Train loss:  1.206065  | Test acc:  0.5095
Epoch:  280  | Train loss:  1.1901671  | Test acc:  0.506
Epoch:  290  | Train loss:  1.1724585  | Test acc:  0.5135
Epoch:  300  | Train loss:  1.1581353  | Test acc:  0.5025
Epoch:  310  | Train loss:  1.1454625  | Test acc:  0.5115
Epoch:  320  | Train loss:  1.1282  | Test acc:  0.508
Epoch:  330  | Train loss:  1.1136364  | Test acc:  0.523
Epoch:  340  | Train loss:  1.0966299  | Test acc:  0.5255
Epoch:  350  | Train loss:  1.0853369  | Test acc:  0.5225
Epoch:  360  | Train loss:  1.063401  | Test acc:  0.5225
Epoch:  370  | Train loss:  1.0559837  | Test acc:  0.5375
Epoch:  380  | Train loss:  1.0350934  | Test acc:  0.5145
Epoch:  390  | Train loss:  1.0256602  | Test acc:  0.522
Epoch:  400  | Train loss:  1.0058495  | Test acc:  0.518
Epoch:  410  | Train loss:  0.9934705  | Test acc:  0.5345
Epoch:  420  | Train loss:  0.97765225  | Test acc:  0.5175
Epoch:  430  | Train loss:  0.960239  | Test acc:  0.522
Epoch:  440  | Train loss:  0.9453993  | Test acc:  0.5235
Epoch:  450  | Train loss:  0.93259186  | Test acc:  0.53
Epoch:  460  | Train loss:  0.9181392  | Test acc:  0.534
Epoch:  470  | Train loss:  0.9002093  | Test acc:  0.519
Epoch:  480  | Train loss:  0.8879376  | Test acc:  0.528
Epoch:  490  | Train loss:  0.8728757  | Test acc:  0.531
Epoch:  500  | Train loss:  0.8540127  | Test acc:  0.524
Epoch:  510  | Train loss:  0.8403387  | Test acc:  0.5235
Epoch:  520  | Train loss:  0.8271077  | Test acc:  0.5455
Epoch:  530  | Train loss:  0.81022114  | Test acc:  0.523
Epoch:  540  | Train loss:  0.7926312  | Test acc:  0.542
Epoch:  550  | Train loss:  0.77950054  | Test acc:  0.5325
Epoch:  560  | Train loss:  0.76550037  | Test acc:  0.532
Epoch:  570  | Train loss:  0.7475834  | Test acc:  0.5375
Epoch:  580  | Train loss:  0.73503053  | Test acc:  0.54
Epoch:  590  | Train loss:  0.7152756  | Test acc:  0.541
Epoch:  600  | Train loss:  0.7050034  | Test acc:  0.5355
Epoch:  610  | Train loss:  0.684198  | Test acc:  0.5305
Epoch:  620  | Train loss:  0.67306936  | Test acc:  0.5405
Epoch:  630  | Train loss:  0.657795  | Test acc:  0.53
Epoch:  640  | Train loss:  0.6418717  | Test acc:  0.5325
Epoch:  650  | Train loss:  0.62977207  | Test acc:  0.5345
Epoch:  660  | Train loss:  0.6118864  | Test acc:  0.546
Epoch:  670  | Train loss:  0.59427917  | Test acc:  0.524
Epoch:  680  | Train loss:  0.5784703  | Test acc:  0.541
Epoch:  690  | Train loss:  0.5733509  | Test acc:  0.5485
Epoch:  700  | Train loss:  0.55457336  | Test acc:  0.531
Epoch:  710  | Train loss:  0.5397854  | Test acc:  0.541
Epoch:  720  | Train loss:  0.52328265  | Test acc:  0.529
Epoch:  730  | Train loss:  0.50732285  | Test acc:  0.529
Epoch:  740  | Train loss:  0.49540573  | Test acc:  0.534
Epoch:  750  | Train loss:  0.48150602  | Test acc:  0.538
Epoch:  760  | Train loss:  0.46494597  | Test acc:  0.5145
Epoch:  770  | Train loss:  0.4544045  | Test acc:  0.541
Epoch:  780  | Train loss:  0.43763536  | Test acc:  0.5385
Epoch:  790  | Train loss:  0.42773446  | Test acc:  0.53
Epoch:  800  | Train loss:  0.41683793  | Test acc:  0.539
Epoch:  810  | Train loss:  0.40257666  | Test acc:  0.5325
Epoch:  820  | Train loss:  0.3930527  | Test acc:  0.542
Epoch:  830  | Train loss:  0.37784532  | Test acc:  0.5335
Epoch:  840  | Train loss:  0.36919478  | Test acc:  0.525
Epoch:  850  | Train loss:  0.3573173  | Test acc:  0.5365
Epoch:  860  | Train loss:  0.3451183  | Test acc:  0.528
Epoch:  870  | Train loss:  0.3324764  | Test acc:  0.534
Epoch:  880  | Train loss:  0.32084566  | Test acc:  0.5285
Epoch:  890  | Train loss:  0.3176726  | Test acc:  0.533
Epoch:  900  | Train loss:  0.29853368  | Test acc:  0.5365
Epoch:  910  | Train loss:  0.29685268  | Test acc:  0.539
Epoch:  920  | Train loss:  0.2868078  | Test acc:  0.523
Epoch:  930  | Train loss:  0.27543226  | Test acc:  0.535
Epoch:  940  | Train loss:  0.26409927  | Test acc:  0.532
Epoch:  950  | Train loss:  0.2570946  | Test acc:  0.536
Epoch:  960  | Train loss:  0.24630605  | Test acc:  0.537
Epoch:  970  | Train loss:  0.23847787  | Test acc:  0.5405
Epoch:  980  | Train loss:  0.23201747  | Test acc:  0.5345
Epoch:  990  | Train loss:  0.22460403  | Test acc:  0.5275
Epoch:  999  | Train loss:  0.22050655  | Test acc:  0.5405
